product_id,name,brand,price_rub,segment,category,ingredients_raw,functional_category,pH,allergens,issues
Уникальный ID продукта,Название продукта,Бренд,Цена в рублях (актуальная на дату),бюджетное/мидл/люкс,Категория продукта,Полный список ингредиентов (копипаст),Функция (может быть несколько),Кислотность продукта (если известен),Известные раздражители,Если есть проблемы
product_001,Мягкая пенка с увлажняющим мультикомплексом,Pleyana,743,бюджет,Очищающий гель/пенка,"Aqua, Disodium Cocoyl Glutamate, Coco-Glucoside, Cocamidopropyl Betaine, Betaine, Sodium PCA, Sorbitol, Serine, Glycine, Glutamic Acid, Alanine, Lysine, Arginine, Threonine, Proline, Propandiol, Fragrance, Sodium Fitate, Sapindus Mukurossi Peel Extract, Dichlorobenzyl Alcohol","Мягкое очищение, восстановление барьера, гидратация",5.5 (хороший pH!),"Dichlorobenzyl Alcohol (консервант, более мягкий чем benzyl), Fragrance, Sapindus",✅ Хороший pH 5.5; ✅ Мягкий ПАВ (Disodium Cocoyl Glutamate); ⚠️ Dichlorobenzyl Alcohol — консервант (может быть раздражителем для очень чувствительной кожи); ⚠️ Travel-формат 75мл за 743₽ — дороговато (9.91₽/мл vs обычных очищающих 3-5₽/мл)
product_002,Очищающий гель для лица Sensibio,Bioderma,865,бюджет,Очищающий гель,"Aqua/water/eau, Sodium Cocoamphoacetate, Propanediol, Sodium Lauroyl Sarcosinate, Citric Acid, Coco-glucoside, Glyceryl Oleate, Sodium Citrate, Peg-90 Glyceryl Isostearate, Mannitol, Xylitol, Laureth-2, Rhamnose, Fructooligosaccharides, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate","Деликатное очищение, восстановление микробиома, гидратация, для sensitive",5.0-5.5,Mannitol/Xylitol (редко) — отсутствуют типичные раздражители,✅ КАЧЕСТВЕННЫЙ; ✅ Нет консервантов-раздражителей; ✅ Пребиотический комплекс; ⚠️ Маленький формат; ⚠️ Не веган (пальмовые гликериды)
product_003,Гель для умывания Sebium,Bioderma,1458,мидл,Очищающий гель,"Aqua (water/eau), Sodium cocoamphoacetate, Sodium laureth sulfate, Methylpropanediol, Disodium EDTA, Mannitol, Xylitol, Rhamnose, Fructooligosaccharides, Zinc sulfate, Copper sulfate, Ginkgo biloba leaf extract, PEG-90 glyceryl isostearate, Lactic acid, Laureth-2, Potassium sorbate, Sodium chloride, Propylene glycol, Sodium hydroxide, Fragrance (parfum). [BI 418]","Мягкое очищение, себорегуляция, пилинг (мягкий), восстановление микробиома",3.5-4.0,"Sodium laureth sulfate (раздражитель для sensitive!), Fragrance, Lactic Acid (может вызвать стянутость), Propylene Glycol","🚨 CRITICAL: Sodium laureth sulfate (SLS) — АГРЕССИВНЫЙ ПАВ, не рекомендовать для sensitive кожи! Это противоречит позиционированию Bioderma (бренд известен для sensitive). ⚠️ Лактическая кислота + SLS = потенциальное раздражение. ✅ Пребиотики хорошо. ✅ Себорегуляция (цинк + медь). ⚠️ Дорого (7.29₽/мл vs Sensibio 8.65₽/мл). 📌 Для кого: Жирная/комбинированная кожа, опыт с AHA. ❌ НЕ для sensitive!"
product_004,Hyaluronic Micellar Water,Aravia Laboratories,505,бюджет,Мицеллярная вода,"Aqua, Glycerin, Poloxamer 184, PEG-40 Hydrogenated Castor Oil, Benzyl Alcohol, Panthenol, Glyceryl Laurate, Sodium Hyaluronate","Мягкое очищение, гидратация, успокаивание",46148,"Benzyl Alcohol (консервант-раздражитель), отсутствуют типичные раздражители иначе","✅ ОЧЕНЬ ДЕШЕВО (0.97₽/мл) — лучший ratio. ✅ Простой состав, безопасный. ✅ Гиалуронат есть, хотя в малой концентрации. ⚠️ Benzyl Alcohol может раздражать sensitive (как в Pleyana). ⚠️ pH ~6.5 (не идеален для мицелляра, лучше 5-5.5). 📌 Для кого: Нормальная/комбинированная кожа, бюджет. ⚠️ НЕ для очень sensitive. 💡 Это типовая мицеллярная вода, без излишеств. Хороший вариант для mass-market."
product_005,Мицеллярная пенка aqua key,DE_CODE,467,бюджет,Мицеллярная пенка,"Aqua, Potassium Laureth-4 Carboxylate, Glycerin, Isopentyldiol, PEG-7 Glyceryl Cocoate, Coco-Glucoside, Aloe Barbadensis Leaf Juice, Cocamidopropyl Betaine, Sodium PCA, Panthenol, Sodium Hyaluronate, Phenoxyethanol, Ethylhexylglycerin, Potassium Sorbate, Sodium Benzoate, Parfum, Disodium EDTA, Lactic Acid","Мягкое очищение, гидратация, микропилинг (очень мягкий), успокаивание",4.0-4.5 (из-за Lactic Acid),"Phenoxyethanol + Ethylhexylglycerin (двойная консервация, может раздражать), Fragrance, Lactic Acid","✅ ХОРОШИЙ БАЛАНС: мягкие ПАВ + гидратация. ✅ Гиалуронат + Алоэ вера (успокаивание). ✅ Лактическая кислота мягкая (для новичков с микропилингом). ⚠️ Phenoxyethanol + Ethylhexylglycerin ВМЕСТЕ (как в DE_CODE пенке Pleyana) — может быть избыточно для sensitive. ⚠️ pH 4.0-4.5 может стянуть очень сухую кожу. 📌 Для кого: Комбинированная, нормальная кожа; начинающие с микропилингом. ⚠️ НЕ для очень sensitive/сухой. 💡 Цена 3.11₽/мл — хороший бюджет-вариант, но консервантов много."
product_006,Dermaclear Cleansing Foam PH,Dr.Jart+,1891,мидл,Пенка для очищения,"Water, Glycerin, Lauryl Hydroxysultaine, Potassium Cocoyl Glycinate, Acrylates Copolymer, 1,2-Hexanediol, Decyl Glucoside, Sodium Chloride, Sodium Methyl Cocoyl Taurate, Ethylhexylglycerin, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Paradisi (Grapefruit) Peel Oil, Pelargonium Graveolens (Geranium) Flower Oil, Sea Salt, Salvia Officinalis (Sage) Oil, Pogostemon Cablin (Patchouli) Oil, Aminobutyric Acid, Tromethamine, Citric Acid, Alcohol Denat., Sodium Carbonate, Limonene, Citronellol, Linalool, Geraniol, Disodium EDTA","Мягкое очищение, успокаивание, pH-буферизирующее",4.5-5.0 (благодаря Tromethamine (pH buffer) + Citric Acid),"Множественные эфирные масла (Bergamot, Grapefruit, Geranium, Sage, Patchouli — ФОТОТОКСИЧНЫ!), Limonene, Citronellol, Linalool, Ethylhexylglycerin, Alcohol Denat. (спирт)","✅ ХОРОШИЙ pH (4.5-5.0, буферизирован правильно). ✅ Мягкие ПАВ (Lauryl Hydroxysultaine + Potassium Cocoyl Glycinate). ✅ ГАМК (нейротрансмиттер, успокаивает чувствительную кожу). 🚨 МНОЖЕСТВЕННЫЕ ФОТОТОКСИЧНЫЕ МАСЛА (Bergamot, Grapefruit, Geranium) — ❌ НЕ ДЛЯ ДНЕВНОГО ИСПОЛЬЗОВАНИЯ без SPF 50+++! ⚠️ Alcohol Denat. (спирт) может раздражать очень sensitive. ⚠️ Самая дорогая из всех (15.76₽/мл). 📌 ВЕРДИКТ: ОТЛИЧНЫЙ состав для ночного очищения, но фототоксичен днём. Для sensitive кожи — лучше Bioderma Sensibio, если нужно использовать днём."
product_007,Low Ph Good Morning Gel Cleanser,COSRX,1086,мидл,Очищающий гель с BHA,"Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Sodium Chloride, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA","Мягкое очищение, микропилинг (BHA), антибактериальное, противовоспаление, ферментативный пилинг","3.5-4.0 (из-за Betaine Salicylate + Citric Acid, идеально для BHA)","Melaleuca Alternifolia (Tea Tree Oil может быть раздражителем), Ethylhexylglycerin, Sodium Benzoate, Citric Acid","✅ ОТЛИЧНЫЙ pH (3.5-4.0, идеален для BHA). ✅ Мягкие ПАВ (не агрессивны). ✅ BHA (Betaine Salicylate, работает), но НИЗКАЯ концентрация (~0.5-1%). ✅ Ферментативный пилинг (Saccharomyces Ferment) + BHA = двойной пилинг, но мягкий. ✅ Tea Tree (антибактериальный, хорошо для жирной/акне кожи). ⚠️ Tea Tree Oil может раздражать чувствительную кожу. ⚠️ НЕ для очень sensitive (два пилинга). 📌 ВЕРДИКТ: ОТЛИЧНЫЙ гель для жирной/проблемной кожи, новичков с BHA. Ценный продукт, стоит добавить."
product_008,Увлажняющий гель для умывания,Biocos,994,бюджет,Увлажняющий гель,"Aqua, Acrylates Copolymer, Coco-Glucoside, Caprylyl/Capryl Glucoside, Cocamidopropyl Betaine, Hydroxyethyl Urea, Sodium Cocoyl Isethionate, Isopentyldiol, Disodium Cocoamphodiacetate, Olive Oil Glycereth-8 Esters, Vaccinium Myrtillus Fruit Extract, Saccharum Officinarum Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Tocopheryl Acetate, Sodium Chloride, Tetrasodium Glutamate Diacetate, Sodium Hydroxide, Mannitol, Microcrystalline Cellulose, Silica, Kaolin, Hydroxypropyl Methylcellulose, Methylisothiazolinone, Methylchloroisothiazolinone, Parfum, CI 77007","Мягкое очищение, гидратация, мягкий себоконтроль (Kaolin + Silica), антиоксидация, питание","~6.5-7 (Sodium Hydroxide может поднять pH выше 5.5, потенциально щелочной)","Methylisothiazolinone + Methylchloroisothiazolinone (консерванты, могут раздражать), Citrus Aurantium + Citrus Limon (фототоксичны!), Parfum, Sodium Hydroxide","⚠️ pH ВЕРОЯТНО >6.5 (Sodium Hydroxide используется для нейтрализации, может поднять pH выше безопасного). ✅ Мягкие ПАВ (хорошо). ✅ Гидратация (Hydroxyethyl Urea, достаточная концентрация). ⚠️ Kaolin + Silica одновременно = может пересушить. ⚠️ ФОТОТОКСИЧНЫЕ масла (Orange, Lemon) — ❌ НЕ для дневного использования без SPF! ⚠️ Двойная консервация (Methylisothiazolinone + Methylchloroisothiazolinone) может раздражать. 📌 ВЕРДИКТ: СРЕДНЕЕ качество. pH вероятно неидеален, фототоксичные масла, консерванты спорные. Не рекомендовать для sensitive. Есть лучшие варианты (COSRX, Bioderma)."
product_009,Пенка для нормальной и жирной кожи Sapindus mukurossi,EMANSI + AphSystem,2745,мидл,Пенка для очищения,"Aqua, disodium cocoilglutamate, coco-glucoside, glycerin, propanediol, cocamidopropyl betaine, linoleamidopropyl PG-dimonium chloride phosphate, fragrance, Sapindus mukurossi peel extract, Asparagus officinalis stem extract, (+) L-lactic acid, sodium fitate, hinokitiol, o-cymen-5-ol","Мягкое очищение, мягкий микропилинг (лактическая кислота), себорегуляция (Sapindus), антибактериальное",~4.0-4.5 (из-за L-lactic acid),"O-Cymen-5-Ol (консервант-фенол, раздражитель), Fragrance, Linoleamidopropyl PG-dimonium chloride phosphate (кондиционер, может раздражать)","✅ Хорошие мягкие ПАВ. ✅ Sapindus mukurossi (натуральный, работает). ✅ Лактическая кислота мягкая. ⚠️ O-Cymen-5-Ol (фенол-консервант, может раздражать sensitive). ⚠️ Linoleamidopropyl PG-dimonium chloride phosphate (кондиционер для волос в очищающем для лица? странно). 🚨 ЦЕНА 16.15₽/мл — САМАЯ ДОРОГАЯ! За что? За натуральный Sapindus? За статус Emansi? Это переплата. 📌 ВЕРДИКТ: Хороший состав, но дорого. Для жирной кожи — работает, но есть дешевле варианты (COSRX 7.24₽/мл)."
